t,x,y,z,qw,qx,qy,qz
-0.000142529,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.000809378,0.00888904,0.0263157,0.00270575,0.930838,-0.353869,0.0840902,0.0352937
0.00180609,0.00888904,0.0263157,0.00270575,0.930838,-0.353869,0.0840902,0.0352937
0.00286598,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0038461,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.00485511,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.00585058,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.00685394,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.00785217,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0088567,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.00984922,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0108264,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0118459,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0128496,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.0138543,0.00888904,0.0263157,0.00270575,0.930861,-0.353922,0.083864,0.0346987
0.014848,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0158284,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0168619,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0178584,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0188468,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0198408,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0208571,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0218591,0.00894745,0.0263193,0.00270575,0.930844,-0.353915,0.0840554,0.0347715
0.0228569,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0238508,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0248481,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0258553,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0268461,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0278447,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0288487,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0298425,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0308608,0.00894433,0.0263687,0.00268334,0.93087,-0.353698,0.0846886,0.0347364
0.0318493,0.00894433,0.0263687,0.00268334,0.93087,-0.353698,0.0846886,0.0347364
0.0328548,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0338588,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0348556,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0358531,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0368232,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.03784,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0388474,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0398526,0.00894433,0.0263687,0.00268334,0.930916,-0.353725,0.0840529,0.0347767
0.0408461,0.00894433,0.0263687,0.00268334,0.93087,-0.353698,0.0846886,0.0347364
0.0418511,0.00894433,0.0263687,0.00268334,0.93087,-0.353698,0.0846886,0.0347364
0.0428696,0.00894692,0.0263277,0.00264772,0.930916,-0.353725,0.0840529,0.0347767
0.0438605,0.00894692,0.0263277,0.00264772,0.930916,-0.353725,0.0840529,0.0347767
0.0448617,0.00894692,0.0263277,0.00264772,0.93087,-0.353698,0.0846886,0.0347364
0.0458618,0.00894692,0.0263277,0.00264772,0.93087,-0.353698,0.0846886,0.0347364
0.0468536,0.00894692,0.0263277,0.00264772,0.93087,-0.353698,0.0846886,0.0347364
0.0478473,0.00894692,0.0263277,0.00264772,0.93087,-0.353698,0.0846886,0.0347364
0.0488564,0.0089495,0.0262866,0.00261208,0.93087,-0.353698,0.0846886,0.0347364
0.0498609,0.0089495,0.0262866,0.00261208,0.93087,-0.353698,0.0846886,0.0347364
0.0508329,0.00894639,0.026336,0.00258969,0.930942,-0.353507,0.084686,0.0347417
0.0518359,0.00894639,0.026336,0.00258969,0.930942,-0.353507,0.084686,0.0347417
0.052862,0.00894898,0.026295,0.00255403,0.930942,-0.353507,0.084686,0.0347417
0.0538508,0.00894898,0.026295,0.00255403,0.930942,-0.353507,0.084686,0.0347417
0.05486,0.00894845,0.0263034,0.00249599,0.931015,-0.353317,0.0846835,0.034747
0.0558502,0.00894845,0.0263034,0.00249599,0.931015,-0.353317,0.0846835,0.034747
0.056861,0.00894791,0.0263119,0.00243794,0.931087,-0.353127,0.084681,0.0347523
0.0578494,0.00894791,0.0263119,0.00243794,0.931087,-0.353127,0.084681,0.0347523
0.0588258,0.0089505,0.0262709,0.00240224,0.930858,-0.353722,0.0846924,0.0347936
0.0598615,0.0089505,0.0262709,0.00240224,0.930858,-0.353722,0.0846924,0.0347936
0.0608578,0.00894996,0.0262794,0.00234418,0.931137,-0.352882,0.084904,0.0353527
0.0618606,0.00894996,0.0262794,0.00234418,0.931137,-0.352882,0.084904,0.0353527
0.0628533,0.00894685,0.0263288,0.00232187,0.930981,-0.353287,0.0849131,0.0353992
0.0638671,0.00894685,0.0263288,0.00232187,0.930981,-0.353287,0.0849131,0.0353992
0.0648648,0.00894889,0.0262964,0.00222808,0.931053,-0.353097,0.0849104,0.0354046
0.0658528,0.00894889,0.0262964,0.00222808,0.931053,-0.353097,0.0849104,0.0354046
0.0668576,0.00894835,0.026305,0.00217004,0.931125,-0.352906,0.0849077,0.0354099
0.0678494,0.00894835,0.026305,0.00217004,0.931125,-0.352906,0.0849077,0.0354099
0.0688592,0.00894781,0.0263135,0.002112,0.931174,-0.352661,0.0851305,0.0360105
0.0698445,0.00894781,0.0263135,0.002112,0.931174,-0.352661,0.0851305,0.0360105
0.0708491,0.00894727,0.0263221,0.00205396,0.931018,-0.353067,0.0851398,0.0360569
0.071841,0.00894727,0.0263221,0.00205396,0.931018,-0.353067,0.0851398,0.0360569
0.0728657,0.00894984,0.0262812,0.00201814,0.931018,-0.353067,0.0851398,0.0360569
0.0738502,0.00894984,0.0262812,0.00201814,0.931018,-0.353067,0.0851398,0.0360569
0.0748529,0.0089493,0.0262899,0.00196009,0.931067,-0.352822,0.0853625,0.0366574
0.0758482,0.0089493,0.0262899,0.00196009,0.931067,-0.352822,0.0853625,0.0366574
0.0768495,0.00894875,0.0262985,0.00190204,0.93114,-0.352631,0.0853596,0.0366628
0.0778423,0.00894875,0.0262985,0.00190204,0.93114,-0.352631,0.0853596,0.0366628
0.0788496,0.00895078,0.0262664,0.0018081,0.931212,-0.352441,0.0853566,0.0366682
0.0798515,0.00895078,0.0262664,0.0018081,0.931212,-0.352441,0.0853566,0.0366682
0.0808493,0.00895335,0.0262256,0.0017722,0.930983,-0.353036,0.0853691,0.0367091
0.0818563,0.00895335,0.0262256,0.0017722,0.930983,-0.353036,0.0853691,0.0367091
0.0828576,0.0089528,0.0262343,0.00171413,0.931032,-0.352791,0.0855917,0.0373097
0.0838608,0.0089528,0.0262343,0.00171413,0.931032,-0.352791,0.0855917,0.0373097
0.0848638,0.00895225,0.0262431,0.00165605,0.930876,-0.353196,0.0856014,0.0373559
0.0858559,0.00895225,0.0262431,0.00165605,0.930876,-0.353196,0.0856014,0.0373559
0.0868477,0.00895481,0.0262023,0.0016201,0.930876,-0.353196,0.0856014,0.0373559
0.0878489,0.00895481,0.0262023,0.0016201,0.930876,-0.353196,0.0856014,0.0373559
0.0888318,0.00895426,0.0262111,0.00156202,0.930719,-0.353601,0.0856111,0.0374021
0.0898523,0.00895426,0.0262111,0.00156202,0.930719,-0.353601,0.0856111,0.0374021
0.0908586,0.00895426,0.0262111,0.00156202,0.930695,-0.353546,0.0858371,0.037997
0.0918529,0.00895426,0.0262111,0.00156202,0.930695,-0.353546,0.0858371,0.037997
0.0928569,0.00895371,0.0262199,0.00150394,0.930538,-0.353951,0.085847,0.0380431
0.0938538,0.00895371,0.0262199,0.00150394,0.930538,-0.353951,0.085847,0.0380431
0.09487,0.00895371,0.0262199,0.00150394,0.930538,-0.353951,0.085847,0.0380431
0.0958563,0.00895371,0.0262199,0.00150394,0.930538,-0.353951,0.085847,0.0380431
0.0968507,0.00895315,0.0262288,0.00144586,0.930611,-0.353761,0.0858438,0.0380486
0.0978519,0.00895315,0.0262288,0.00144586,0.930611,-0.353761,0.0858438,0.0380486
0.0988547,0.00895315,0.0262288,0.00144586,0.930381,-0.354356,0.0858569,0.0380891
0.0998497,0.00895315,0.0262288,0.00144586,0.930381,-0.354356,0.0858569,0.0380891
0.100822,0.00895315,0.0262288,0.00144586,0.930357,-0.354301,0.0860833,0.0386838
0.101849,0.00895315,0.0262288,0.00144586,0.930357,-0.354301,0.0860833,0.0386838
0.102843,0.00895315,0.0262288,0.00144586,0.930127,-0.354896,0.0860968,0.0387242
0.103842,0.00895315,0.0262288,0.00144586,0.930127,-0.354896,0.0860968,0.0387242
0.104852,0.00895571,0.0261881,0.00140984,0.930127,-0.354896,0.0860968,0.0387242
0.105848,0.00895571,0.0261881,0.00140984,0.930127,-0.354896,0.0860968,0.0387242
0.106861,0.00895571,0.0261881,0.00140984,0.930173,-0.354926,0.0854609,0.0387592
0.107849,0.00895571,0.0261881,0.00140984,0.930173,-0.354926,0.0854609,0.0387592
0.108853,0.00895571,0.0261881,0.00140984,0.929943,-0.35552,0.0854742,0.0387992
0.109854,0.00895571,0.0261881,0.00140984,0.929943,-0.35552,0.0854742,0.0387992
0.11086,0.00895571,0.0261881,0.00140984,0.929943,-0.35552,0.0854742,0.0387992
0.111851,0.00895571,0.0261881,0.00140984,0.929943,-0.35552,0.0854742,0.0387992
0.112851,0.00889725,0.0261844,0.00140984,0.92973,-0.356123,0.0852964,0.0387659
0.113858,0.00889725,0.0261844,0.00140984,0.92973,-0.356123,0.0852964,0.0387659
0.11486,0.00889725,0.0261844,0.00140984,0.929705,-0.356069,0.085524,0.0393602
0.115849,0.00889725,0.0261844,0.00140984,0.929705,-0.356069,0.085524,0.0393602
0.116858,0.00889725,0.0261844,0.00140984,0.92975,-0.356099,0.0848881,0.0393943
0.117853,0.00889725,0.0261844,0.00140984,0.92975,-0.356099,0.0848881,0.0393943
0.118847,0.00889725,0.0261844,0.00140984,0.92975,-0.356099,0.0848881,0.0393943
0.119831,0.00889725,0.0261844,0.00140984,0.92975,-0.356099,0.0848881,0.0393943
0.120844,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
0.121841,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
0.122828,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
0.123826,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
0.124848,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
0.125822,0.00889725,0.0261844,0.00140984,0.92952,-0.356693,0.0849018,0.0394336
