t,x,y,z,qw,qx,qy,qz
-0.00012156,0.0198972,0.0655607,0.159544,0.721596,-0.684482,0.00645661,-0.103638
0.000873754,0.0198972,0.0655607,0.159544,0.721596,-0.684482,0.00645661,-0.103638
0.00186652,0.0198972,0.0655607,0.159544,0.721596,-0.684482,0.00645661,-0.103638
0.00285425,0.0198972,0.0655607,0.159544,0.721596,-0.684482,0.00645661,-0.103638
0.00387291,0.0198972,0.0655607,0.159544,0.721596,-0.684482,0.00645661,-0.103638
0.00487105,0.0198972,0.0655607,0.159544,0.721663,-0.684478,0.00689412,-0.103176
0.00587817,0.0198972,0.0655607,0.159544,0.721663,-0.684478,0.00689412,-0.103176
0.00686896,0.0198972,0.0655607,0.159544,0.721663,-0.684478,0.00689412,-0.103176
0.0078705,0.0198972,0.0655607,0.159544,0.721663,-0.684478,0.00689412,-0.103176
0.00888386,0.0198972,0.0655607,0.159544,0.72181,-0.684398,0.00649804,-0.102704
0.00986687,0.0198972,0.0655607,0.159544,0.72181,-0.684398,0.00649804,-0.102704
0.0108682,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0119166,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0129116,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0138843,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0148797,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0158982,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0168799,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0178943,0.0198972,0.0655607,0.159544,0.721395,-0.684856,0.00641726,-0.102564
0.0188801,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0198832,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0208816,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0218997,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0228909,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0238705,0.0198972,0.0655607,0.159544,0.721607,-0.684772,0.00645856,-0.10163
0.0248876,0.0198972,0.0655607,0.159544,0.721754,-0.684691,0.0060621,-0.101158
0.0258719,0.0198972,0.0655607,0.159544,0.721754,-0.684691,0.0060621,-0.101158
0.0268999,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0279138,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0288857,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0298774,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0308649,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0318925,0.0198972,0.0655607,0.159544,0.721339,-0.68515,0.00598098,-0.101019
0.0328718,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0338756,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0348728,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0358916,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0368665,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0378849,0.0198972,0.0655607,0.159544,0.721549,-0.685065,0.0060221,-0.100085
0.0388878,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0398719,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0408895,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0418782,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0428833,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0438939,0.0198972,0.0655607,0.159544,0.721695,-0.684984,0.00562527,-0.0996124
0.0448669,0.0198972,0.0655607,0.159544,0.721279,-0.685442,0.00554382,-0.0994742
0.0458785,0.0198972,0.0655607,0.159544,0.721279,-0.685442,0.00554382,-0.0994742
0.0468684,0.0198972,0.0655607,0.159544,0.721279,-0.685442,0.00554382,-0.0994742
0.0478846,0.0198972,0.0655607,0.159544,0.721279,-0.685442,0.00554382,-0.0994742
0.0488663,0.0198972,0.0655607,0.159544,0.721424,-0.685361,0.00514668,-0.0990018
0.049883,0.0198972,0.0655607,0.159544,0.721424,-0.685361,0.00514668,-0.0990018
0.0508749,0.0198972,0.0655607,0.159544,0.721424,-0.685361,0.00514668,-0.0990018
0.0518874,0.0198972,0.0655607,0.159544,0.721424,-0.685361,0.00514668,-0.0990018
0.0528758,0.0198972,0.0655607,0.159544,0.721487,-0.685357,0.00558475,-0.0985407
0.0538975,0.0198972,0.0655607,0.159544,0.721487,-0.685357,0.00558475,-0.0985407
0.054892,0.0199073,0.0655085,0.159555,0.721487,-0.685357,0.00558475,-0.0985407
0.0558728,0.0199073,0.0655085,0.159555,0.721487,-0.685357,0.00558475,-0.0985407
0.0568768,0.0199073,0.0655085,0.159555,0.721632,-0.685276,0.00518755,-0.0980682
0.0578734,0.0199073,0.0655085,0.159555,0.721632,-0.685276,0.00518755,-0.0980682
0.0588831,0.0199073,0.0655085,0.159555,0.721632,-0.685276,0.00518755,-0.0980682
0.0598887,0.0199073,0.0655085,0.159555,0.721632,-0.685276,0.00518755,-0.0980682
0.0608754,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0618772,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0628752,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0638986,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0648834,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0658868,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0668685,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0678939,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0688783,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0698807,0.0199073,0.0655085,0.159555,0.722048,-0.684817,0.00526935,-0.0982057
0.0708896,0.0199073,0.0655085,0.159555,0.722192,-0.684736,0.00487246,-0.0977329
0.0718713,0.0199073,0.0655085,0.159555,0.722192,-0.684736,0.00487246,-0.0977329
0.0728835,0.0199073,0.0655085,0.159555,0.722254,-0.684733,0.00531013,-0.0972713
0.0738934,0.0199073,0.0655085,0.159555,0.722254,-0.684733,0.00531013,-0.0972713
0.074885,0.0199073,0.0655085,0.159555,0.722254,-0.684733,0.00531013,-0.0972713
0.0758938,0.0199073,0.0655085,0.159555,0.722254,-0.684733,0.00531013,-0.0972713
0.0768929,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0778795,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.078994,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0798843,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0808697,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0818802,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0828715,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0838792,0.0199073,0.0655085,0.159555,0.722398,-0.684651,0.00491319,-0.0967983
0.0848669,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0858665,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0868895,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0878675,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0888852,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0898688,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0908812,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0918892,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0928859,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0938645,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0948907,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0958821,0.0199073,0.0655085,0.159555,0.722542,-0.684569,0.00451625,-0.0963254
0.0968729,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.0978841,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.098867,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.0998904,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.100873,0.0199073,0.0655085,0.159555,0.723101,-0.684028,0.00420208,-0.0959885
0.101867,0.0199073,0.0655085,0.159555,0.723101,-0.684028,0.00420208,-0.0959885
0.102887,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.103869,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.104884,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.105883,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.106887,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.107881,0.0199073,0.0655085,0.159555,0.722685,-0.684487,0.00411931,-0.0958524
0.108872,0.0199073,0.0655085,0.159555,0.723101,-0.684028,0.00420208,-0.0959885
0.109882,0.0199073,0.0655085,0.159555,0.723101,-0.684028,0.00420208,-0.0959885
0.110886,0.0199077,0.0655062,0.159501,0.723295,-0.68388,0.00468489,-0.0955534
0.111882,0.0199077,0.0655062,0.159501,0.723295,-0.68388,0.00468489,-0.0955534
0.112874,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.113895,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.114869,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.115891,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.116868,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.117867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.118883,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.119869,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.120883,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.121878,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.122872,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.123884,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.124868,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.125888,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.126884,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.127867,0.0199077,0.0655062,0.159501,0.723437,-0.683798,0.00428811,-0.0950801
0.128872,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.129885,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.130867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.131896,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.132867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.133863,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.134885,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.135867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.136895,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.1379,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.138889,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.139886,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.140918,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.141884,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.142884,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.143891,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.144883,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.145885,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.146872,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.14788,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.148867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.149867,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.150884,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.151869,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.15288,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.153868,0.0199077,0.0655062,0.159501,0.723022,-0.684257,0.00420532,-0.0949445
0.154884,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.155894,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.156889,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.157893,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.158893,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.159896,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.160882,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.161881,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.162871,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.163898,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.164867,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.165896,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.166887,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.167878,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.168892,0.0199077,0.0655062,0.159501,0.722666,-0.684713,0.00456017,-0.0943469
0.169876,0.0199077,0.0655062,0.159501,0.722666,-0.684713,0.00456017,-0.0943469
0.170893,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.171888,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.172896,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.1739,0.0199077,0.0655062,0.159501,0.722606,-0.684715,0.00412251,-0.0948088
0.174892,0.0199077,0.0655062,0.159501,0.722666,-0.684713,0.00456017,-0.0943469
0.175872,0.0199077,0.0655062,0.159501,0.722666,-0.684713,0.00456017,-0.0943469
0.176872,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.177885,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.178868,0.0199077,0.0655062,0.159501,0.722524,-0.684795,0.00495764,-0.0948198
0.179884,0.0199077,0.0655062,0.159501,0.722524,-0.684795,0.00495764,-0.0948198
0.180873,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.181888,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.182884,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.183876,0.0199077,0.0655062,0.159501,0.72225,-0.685171,0.00447766,-0.0942115
0.184886,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.185898,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.186892,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.187887,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.188884,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.189898,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.190891,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.19187,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.192878,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.193883,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.194871,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.195903,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.19687,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.197886,0.0199077,0.0655062,0.159501,0.722108,-0.685253,0.00487544,-0.0946841
0.198882,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.199878,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.200892,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.201887,0.0199077,0.0655062,0.159501,0.721691,-0.685711,0.00479325,-0.0945484
0.202894,0.0199077,0.0655062,0.159501,0.721549,-0.685793,0.00519134,-0.0950207
