t,x,y,z,qw,qx,qy,qz
-9.2322e-05,0.000301884,0.0634709,0.154504,0.69751,-0.715521,0.0371979,0.0112356
0.000937487,0.000301884,0.0634709,0.154504,0.697517,-0.715545,0.0367405,0.0107898
0.00194451,0.000301884,0.0634709,0.154504,0.697517,-0.715545,0.0367405,0.0107898
0.0029055,0.000301884,0.0634709,0.154504,0.697522,-0.715522,0.0371949,0.0103409
0.0039127,0.000301884,0.0634709,0.154504,0.697522,-0.715522,0.0371949,0.0103409
0.00493445,0.000301884,0.0634709,0.154504,0.697516,-0.715498,0.0376523,0.0107867
0.0059088,0.000301884,0.0634709,0.154504,0.697516,-0.715498,0.0376523,0.0107867
0.006912,0.000301884,0.0634709,0.154504,0.697985,-0.715054,0.0376271,0.00989724
0.00791347,0.000301884,0.0634709,0.154504,0.697985,-0.715054,0.0376271,0.00989724
0.00892202,0.000301884,0.0634709,0.154504,0.697979,-0.71503,0.0380841,0.0103434
0.00991844,0.000301884,0.0634709,0.154504,0.697979,-0.71503,0.0380841,0.0103434
0.0109257,0.000301884,0.0634709,0.154504,0.697985,-0.715054,0.0376271,0.00989724
0.0119192,0.000301884,0.0634709,0.154504,0.697985,-0.715054,0.0376271,0.00989724
0.0129208,0.000301884,0.0634709,0.154504,0.698443,-0.714608,0.0376048,0.00990252
0.0139139,0.000301884,0.0634709,0.154504,0.698443,-0.714608,0.0376048,0.00990252
0.0149305,0.000301884,0.0634709,0.154504,0.698442,-0.714561,0.0385154,0.00989946
0.0159027,0.000301884,0.0634709,0.154504,0.698442,-0.714561,0.0385154,0.00989946
0.0169185,0.000301884,0.0634709,0.154504,0.698899,-0.714115,0.0384925,0.00990474
0.0179292,0.000301884,0.0634709,0.154504,0.698899,-0.714115,0.0384925,0.00990474
0.0189179,0.000301884,0.0634709,0.154504,0.698905,-0.71414,0.038036,0.00945801
0.0199106,0.000301884,0.0634709,0.154504,0.698905,-0.71414,0.038036,0.00945801
0.0209196,0.000301884,0.0634709,0.154504,0.699362,-0.713693,0.0380134,0.009463
0.0219453,0.000301884,0.0634709,0.154504,0.699362,-0.713693,0.0380134,0.009463
0.0229059,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0239242,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0249291,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0259249,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0269645,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0279508,0.000301884,0.0634709,0.154504,0.699367,-0.71367,0.0384667,0.00901292
0.0289625,0.000301884,0.0634709,0.154504,0.699361,-0.713645,0.0389228,0.00945994
0.0299035,0.000301884,0.0634709,0.154504,0.699361,-0.713645,0.0389228,0.00945994
0.0309057,0.000301884,0.0634709,0.154504,0.699824,-0.713223,0.0384438,0.00901761
0.0319156,0.000301884,0.0634709,0.154504,0.699824,-0.713223,0.0384438,0.00901761
0.0329273,0.000301884,0.0634709,0.154504,0.699818,-0.713199,0.0388996,0.00946493
0.0339184,0.000301884,0.0634709,0.154504,0.699818,-0.713199,0.0388996,0.00946493
0.0349175,0.000301884,0.0634709,0.154504,0.699828,-0.7132,0.0388967,0.00856723
0.0359049,0.000301884,0.0634709,0.154504,0.699828,-0.7132,0.0388967,0.00856723
0.0369193,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.0379011,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.0389093,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.0399167,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.040911,0.000301884,0.0634709,0.154504,0.700279,-0.712728,0.0393291,0.00901924
0.0419161,0.000301884,0.0634709,0.154504,0.700279,-0.712728,0.0393291,0.00901924
0.0429138,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.0439139,0.000301884,0.0634709,0.154504,0.70028,-0.712777,0.0384208,0.0090223
0.0449209,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0459045,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0469277,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0479018,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0489188,0.000301884,0.0634709,0.154504,0.700736,-0.712329,0.0383979,0.00902699
0.0499147,0.000301884,0.0634709,0.154504,0.700736,-0.712329,0.0383979,0.00902699
0.0509175,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0519097,0.000301884,0.0634709,0.154504,0.70073,-0.712305,0.0388532,0.00947489
0.0529365,0.000301884,0.0634709,0.154504,0.701192,-0.711882,0.038375,0.00903167
0.0539139,0.000301884,0.0634709,0.154504,0.701192,-0.711882,0.038375,0.00903167
0.0549351,0.000301884,0.0634709,0.154504,0.701186,-0.711857,0.03883,0.00947986
0.055925,0.000301884,0.0634709,0.154504,0.701186,-0.711857,0.03883,0.00947986
0.0569208,0.000301884,0.0634709,0.154504,0.701186,-0.711857,0.03883,0.00947986
0.0579196,0.000301884,0.0634709,0.154504,0.701186,-0.711857,0.03883,0.00947986
0.0589146,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.0599182,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.060918,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.0619487,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.0629103,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.0639236,0.000301884,0.0634709,0.154504,0.701647,-0.711434,0.038352,0.00903635
0.0649236,0.000301884,0.0634709,0.154504,0.701643,-0.711457,0.0379002,0.00948788
0.0659259,0.000301884,0.0634709,0.154504,0.701643,-0.711457,0.0379002,0.00948788
0.0669189,0.000301884,0.0634709,0.154504,0.702098,-0.711009,0.0378775,0.00949285
0.0679101,0.000301884,0.0634709,0.154504,0.702098,-0.711009,0.0378775,0.00949285
0.0689203,0.000302037,0.0634178,0.154516,0.702098,-0.711009,0.0378775,0.00949285
0.0699088,0.000302037,0.0634178,0.154516,0.702098,-0.711009,0.0378775,0.00949285
0.0709076,0.000302037,0.0634178,0.154516,0.702553,-0.710561,0.0378548,0.00949781
0.0719193,0.000302037,0.0634178,0.154516,0.702553,-0.710561,0.0378548,0.00949781
0.072919,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0739229,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0749202,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0759207,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0769215,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0779059,0.000302037,0.0634178,0.154516,0.702547,-0.710536,0.038309,0.00994687
0.0789305,0.000302037,0.0634178,0.154516,0.702996,-0.710111,0.037835,0.0104045
0.0799069,0.000302037,0.0634178,0.154516,0.702996,-0.710111,0.037835,0.0104045
0.0809279,0.000302037,0.0634178,0.154516,0.703007,-0.710112,0.0378321,0.00950277
0.0819232,0.000302037,0.0634178,0.154516,0.703007,-0.710112,0.0378321,0.00950277
0.0829298,0.000302037,0.0634178,0.154516,0.703002,-0.710135,0.0373811,0.00995516
