t,x,y,z,qw,qx,qy,qz,gripper_trigger
0.00499372,-0.0662476,-0.00159554,0.179836,0.496178,-0.503235,-0.472081,0.526973,0
0.00998163,-0.0662476,-0.00159554,0.179836,0.496178,-0.503235,-0.472081,0.526973,0
0.0150333,-0.0662476,-0.00159554,0.179836,0.496475,-0.502893,-0.47177,0.527299,0
0.0200011,-0.0662476,-0.00159554,0.179836,0.496475,-0.502893,-0.47177,0.527299,0
0.0249771,-0.0662476,-0.00159554,0.179836,0.496475,-0.502893,-0.47177,0.527299,0
0.0299353,-0.0662476,-0.00159554,0.179836,0.496772,-0.50255,-0.471459,0.527625,0
0.0349847,-0.0662476,-0.00159554,0.179836,0.496772,-0.50255,-0.471459,0.527625,0
0.0399191,-0.0662476,-0.00159554,0.179836,0.496772,-0.50255,-0.471459,0.527625,0
0.0450165,-0.0662476,-0.00159554,0.179836,0.497069,-0.502207,-0.471147,0.52795,0
0.0500284,-0.0662476,-0.00159554,0.179836,0.497069,-0.502207,-0.471147,0.52795,0
0.0549139,-0.0662476,-0.00159554,0.179836,0.49667,-0.501979,-0.4714,0.528316,0
0.0600136,-0.0662476,-0.00159554,0.179836,0.496966,-0.501636,-0.471088,0.528641,0
0.0650451,-0.0662476,-0.00159554,0.179836,0.496966,-0.501636,-0.471088,0.528641,0
0.0699694,-0.0662476,-0.00159554,0.179836,0.496966,-0.501636,-0.471088,0.528641,0
0.0749707,-0.0662476,-0.00159554,0.179836,0.496863,-0.501066,-0.471029,0.529332,0
0.0800424,-0.0662476,-0.00159554,0.179836,0.496863,-0.501066,-0.471029,0.529332,0
0.0850421,-0.0662476,-0.00159554,0.179836,0.497158,-0.500723,-0.470716,0.529657,0
0.0900079,-0.0662476,-0.00159554,0.179836,0.497454,-0.500379,-0.470403,0.529982,0
0.0950209,-0.0662476,-0.00159554,0.179836,0.497454,-0.500379,-0.470403,0.529982,0
0.100052,-0.0662583,-0.00159537,0.179889,0.497655,-0.500145,-0.47019,0.530203,0
0.105061,-0.0662583,-0.00159537,0.179889,0.497951,-0.499801,-0.469877,0.530528,0
0.110019,-0.0662583,-0.00159537,0.179889,0.497951,-0.499801,-0.469877,0.530528,0
0.115039,-0.0662583,-0.00159537,0.179889,0.498584,-0.499158,-0.469883,0.530533,0
0.119999,-0.0662583,-0.00159537,0.179889,0.49888,-0.498813,-0.469569,0.530857,0
0.124998,-0.0662583,-0.00159537,0.179889,0.499174,-0.49847,-0.469255,0.531181,0
0.129979,-0.0662583,-0.00159537,0.179889,0.499174,-0.49847,-0.469255,0.531181,0
0.134975,-0.0662583,-0.00159537,0.179889,0.499574,-0.498695,-0.469005,0.530814,0
0.140019,-0.0662583,-0.00159537,0.179889,0.499529,-0.49865,-0.468372,0.531456,0
0.145058,-0.0662583,-0.00159537,0.179889,0.49993,-0.498875,-0.468122,0.531089,0
0.149978,-0.0662583,-0.00159537,0.179889,0.500624,-0.498755,-0.467558,0.531045,0
0.154977,-0.0662583,-0.00159537,0.179889,0.501025,-0.498979,-0.467307,0.530677,0
0.159995,-0.0662583,-0.00159537,0.179889,0.501025,-0.498979,-0.467307,0.530677,0
0.164972,-0.0662583,-0.00159537,0.179889,0.50113,-0.49955,-0.467369,0.529986,0
0.170045,-0.0662583,-0.00159537,0.179889,0.501529,-0.499774,-0.467118,0.529618,0
0.175034,-0.0662052,-0.0015962,0.179901,0.501928,-0.499998,-0.466867,0.52925,0
0.180053,-0.0662052,-0.0015962,0.179901,0.502328,-0.500222,-0.466615,0.528881,0
0.185001,-0.0662052,-0.0015962,0.179901,0.502768,-0.500494,-0.466995,0.527869,0
0.190049,-0.0662052,-0.0015962,0.179901,0.503462,-0.500371,-0.466431,0.527822,0
0.195057,-0.0662052,-0.0015962,0.179901,0.503564,-0.500942,-0.466491,0.52713,0
0.200045,-0.0662052,-0.0015962,0.179901,0.50436,-0.501389,-0.465986,0.526391,0
0.205036,-0.0662052,-0.0015962,0.179901,0.504758,-0.501612,-0.465733,0.526021,0
0.21001,-0.0662052,-0.0015962,0.179901,0.505155,-0.501835,-0.46548,0.525651,0
0.214989,-0.0662052,-0.0015962,0.179901,0.505552,-0.502057,-0.465226,0.525281,0
0.220005,-0.0662052,-0.0015962,0.179901,0.505652,-0.502628,-0.465283,0.524589,0
0.224991,-0.0662052,-0.0015962,0.179901,0.506346,-0.502502,-0.464719,0.524539,0
0.23005,-0.0662052,-0.0015962,0.179901,0.506048,-0.502851,-0.465029,0.524218,0
0.234993,-0.0662052,-0.0015962,0.179901,0.506444,-0.503073,-0.464775,0.523847,0
0.239979,-0.0662052,-0.0015962,0.179901,0.50684,-0.503295,-0.464521,0.523476,0
0.244983,-0.0662052,-0.0015962,0.179901,0.507236,-0.503517,-0.464266,0.523105,0
0.249979,-0.0662052,-0.0015962,0.179901,0.507236,-0.503517,-0.464266,0.523105,0
0.254972,-0.0662052,-0.0015962,0.179901,0.507632,-0.503739,-0.464012,0.522733,0
0.259974,-0.0662052,-0.0015962,0.179901,0.507632,-0.503739,-0.464012,0.522733,0
0.26498,-0.0662052,-0.0015962,0.179901,0.508027,-0.50396,-0.463757,0.522362,0
0.269976,-0.0662052,-0.0015962,0.179901,0.508027,-0.50396,-0.463757,0.522362,0
0.27497,-0.0662052,-0.0015962,0.179901,0.508027,-0.50396,-0.463757,0.522362,0
0.279994,-0.0662052,-0.0015962,0.179901,0.508422,-0.504182,-0.463502,0.52199,0
0.285035,-0.0662052,-0.0015962,0.179901,0.508124,-0.504531,-0.463809,0.52167,0
0.290039,-0.0662059,-0.0016382,0.179901,0.508622,-0.504648,-0.463661,0.521202,0
0.295038,-0.0662059,-0.0016382,0.179901,0.508622,-0.504648,-0.463661,0.521202,0
0.300035,-0.0662059,-0.0016382,0.179901,0.508622,-0.504648,-0.463661,0.521202,0
0.304973,-0.0662059,-0.0016382,0.179901,0.508622,-0.504648,-0.463661,0.521202,0
0.310052,-0.0662059,-0.0016382,0.179901,0.508324,-0.504998,-0.463968,0.520882,0
0.315068,-0.0662059,-0.0016382,0.179901,0.508718,-0.505219,-0.463712,0.52051,0
0.320043,-0.0662059,-0.0016382,0.179901,0.508718,-0.505219,-0.463712,0.52051,0
0.325045,-0.0662059,-0.0016382,0.179901,0.508419,-0.505569,-0.464019,0.520189,0
0.330053,-0.0662059,-0.0016382,0.179901,0.508419,-0.505569,-0.464019,0.520189,0
0.335038,-0.0662059,-0.0016382,0.179901,0.508813,-0.50579,-0.463762,0.519818,0
0.339987,-0.0662059,-0.0016382,0.179901,0.508513,-0.50614,-0.464069,0.519497,0
0.345012,-0.0662059,-0.0016382,0.179901,0.508513,-0.50614,-0.464069,0.519497,0
0.350017,-0.0662059,-0.0016382,0.179901,0.508513,-0.50614,-0.464069,0.519497,0
0.355045,-0.0662059,-0.0016382,0.179901,0.508607,-0.50671,-0.464117,0.518804,0
0.35999,-0.0662059,-0.0016382,0.179901,0.508607,-0.50671,-0.464117,0.518804,0
0.365081,-0.0662059,-0.0016382,0.179901,0.508607,-0.50671,-0.464117,0.518804,0
0.369983,-0.0662059,-0.0016382,0.179901,0.508607,-0.50671,-0.464117,0.518804,0
0.375049,-0.0662059,-0.0016382,0.179901,0.508307,-0.50706,-0.464424,0.518483,0
0.380034,-0.0662059,-0.0016382,0.179901,0.508307,-0.50706,-0.464424,0.518483,0
0.385069,-0.0662059,-0.0016382,0.179901,0.508307,-0.50706,-0.464424,0.518483,0
0.390063,-0.0662059,-0.0016382,0.179901,0.508307,-0.50706,-0.464424,0.518483,0
0.39505,-0.0662059,-0.0016382,0.179901,0.508307,-0.50706,-0.464424,0.518483,0
0.399963,-0.0662059,-0.0016382,0.179901,0.508007,-0.507409,-0.464728,0.518163,0
0.405034,-0.0662059,-0.0016382,0.179901,0.508007,-0.507409,-0.464728,0.518163,0
0.409976,-0.0662059,-0.0016382,0.179901,0.508007,-0.507409,-0.464728,0.518163,0
0.414983,-0.0662059,-0.0016382,0.179901,0.507613,-0.507187,-0.464986,0.518534,0
0.419977,-0.0662059,-0.0016382,0.179901,0.507613,-0.507187,-0.464986,0.518534,0
0.424978,-0.0662059,-0.0016382,0.179901,0.507613,-0.507187,-0.464986,0.518534,0
0.429974,-0.0662059,-0.0016382,0.179901,0.507613,-0.507187,-0.464986,0.518534,0
0.434972,-0.0662059,-0.0016382,0.179901,0.507613,-0.507187,-0.464986,0.518534,0
0.44005,-0.0662059,-0.0016382,0.179901,0.50722,-0.506965,-0.465243,0.518906,0
0.444977,-0.0662059,-0.0016382,0.179901,0.50722,-0.506965,-0.465243,0.518906,0
0.450011,-0.0662059,-0.0016382,0.179901,0.507519,-0.506617,-0.464938,0.519227,0
0.454973,-0.0662059,-0.0016382,0.179901,0.507519,-0.506617,-0.464938,0.519227,0
0.460053,-0.0662059,-0.0016382,0.179901,0.507126,-0.506394,-0.465195,0.519598,0
0.465023,-0.0662059,-0.0016382,0.179901,0.507126,-0.506394,-0.465195,0.519598,0
0.469985,-0.0662059,-0.0016382,0.179901,0.507126,-0.506394,-0.465195,0.519598,0
0.47499,-0.0662059,-0.0016382,0.179901,0.507126,-0.506394,-0.465195,0.519598,0
0.479992,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.484978,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.490026,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.494981,-0.0662059,-0.0016382,0.179901,0.506732,-0.506172,-0.465451,0.51997,0
0.49999,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.505026,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.510047,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.514974,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.519981,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.524979,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
0.529977,-0.0662059,-0.0016382,0.179901,0.506337,-0.505949,-0.465708,0.520341,0
