t,x,y,z,qw,qx,qy,qz
-0.000130046,-0.00163752,0.0662483,0.179836,0.723458,-0.689676,0.0215396,0.0221734
0.00080531,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00187416,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00284345,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00386826,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00486839,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00588482,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00687109,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00788707,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0088675,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.00986385,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0108931,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0118714,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0128752,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0138903,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0148704,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0158683,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.016899,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.01787,-0.00159554,0.0662476,0.179836,0.723477,-0.689653,0.0220293,0.0217754
0.0189082,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0198648,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0208661,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0219318,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0228593,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0238727,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0249055,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0258988,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0268847,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.027899,-0.00159554,0.0662476,0.179836,0.723918,-0.689191,0.022007,0.0217958
0.0289052,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0298736,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0309029,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0318704,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0328729,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0339017,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0348852,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0358865,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0368957,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0378555,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0388528,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0398709,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0408647,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0419064,-0.00159554,0.0662476,0.179836,0.724358,-0.688728,0.0219848,0.0218161
0.0428922,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0438736,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0449118,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.045863,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0468669,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0479043,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0488982,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0498736,-0.00159554,0.0662476,0.179836,0.724798,-0.688265,0.0219625,0.0218365
0.0508936,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0518927,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0528968,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0538988,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0548781,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0558934,-0.00159554,0.0662476,0.179836,0.724774,-0.688283,0.0216226,0.022377
0.0568858,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0578826,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0589042,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0598945,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0609054,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0619113,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0629083,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0639029,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0648823,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0658862,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0668808,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0678733,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0688735,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0699103,-0.00159554,0.0662476,0.179836,0.725214,-0.68782,0.0216007,0.0223976
0.0708825,-0.00159554,0.0662476,0.179836,0.725653,-0.687357,0.0215788,0.0224182
0.0718844,-0.00159554,0.0662476,0.179836,0.725653,-0.687357,0.0215788,0.0224182
0.0728651,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0738663,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0748914,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0758727,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0768702,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0779073,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0788934,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0798746,-0.00159554,0.0662476,0.179836,0.725629,-0.687374,0.0212395,0.0229591
0.0808685,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0818696,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0828709,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0838764,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0848736,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0859017,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.086898,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.087877,-0.00159554,0.0662476,0.179836,0.726068,-0.686911,0.0212179,0.0229799
0.0888763,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.08988,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0908838,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0918791,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0928814,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0939042,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0948948,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0958774,-0.00159554,0.0662476,0.179836,0.726507,-0.686447,0.0211963,0.0230007
0.0968726,-0.00159554,0.0662476,0.179836,0.726945,-0.685983,0.0211747,0.0230214
0.0978722,-0.00159554,0.0662476,0.179836,0.726945,-0.685983,0.0211747,0.0230214
0.0988698,-0.00159537,0.0662583,0.179889,0.726806,-0.686131,0.0211816,0.0230148
0.0998697,-0.00159537,0.0662583,0.179889,0.726806,-0.686131,0.0211816,0.0230148
0.10087,-0.00159537,0.0662583,0.179889,0.726806,-0.686131,0.0211816,0.0230148
0.1019,-0.00159537,0.0662583,0.179889,0.726806,-0.686131,0.0211816,0.0230148
0.102898,-0.00159537,0.0662583,0.179889,0.72682,-0.686144,0.020743,0.0225502
0.103889,-0.00159537,0.0662583,0.179889,0.72682,-0.686144,0.020743,0.0225502
0.104869,-0.00159537,0.0662583,0.179889,0.727244,-0.685666,0.02116,0.0230356
0.10587,-0.00159537,0.0662583,0.179889,0.727244,-0.685666,0.02116,0.0230356
0.106891,-0.00159537,0.0662583,0.179889,0.727258,-0.68568,0.0207217,0.0225707
0.107871,-0.00159537,0.0662583,0.179889,0.727258,-0.68568,0.0207217,0.0225707
0.108874,-0.00159537,0.0662583,0.179889,0.727244,-0.685666,0.02116,0.0230356
0.109895,-0.00159537,0.0662583,0.179889,0.727244,-0.685666,0.02116,0.0230356
0.11089,-0.00159537,0.0662583,0.179889,0.727682,-0.685201,0.0211383,0.0230563
0.111871,-0.00159537,0.0662583,0.179889,0.727682,-0.685201,0.0211383,0.0230563
0.112871,-0.00159537,0.0662583,0.179889,0.727696,-0.685215,0.0207004,0.0225912
0.11387,-0.00159537,0.0662583,0.179889,0.727696,-0.685215,0.0207004,0.0225912
0.114866,-0.00159537,0.0662583,0.179889,0.727696,-0.685215,0.0207004,0.0225912
0.115864,-0.00159537,0.0662583,0.179889,0.727696,-0.685215,0.0207004,0.0225912
0.11687,-0.00159537,0.0662583,0.179889,0.727682,-0.685201,0.0211383,0.0230563
0.117904,-0.00159537,0.0662583,0.179889,0.727682,-0.685201,0.0211383,0.0230563
0.11889,-0.00159537,0.0662583,0.179889,0.728134,-0.68475,0.020679,0.0226116
0.119903,-0.00159537,0.0662583,0.179889,0.728134,-0.68475,0.020679,0.0226116
0.120871,-0.00159537,0.0662583,0.179889,0.728134,-0.68475,0.020679,0.0226116
0.12187,-0.00159537,0.0662583,0.179889,0.728134,-0.68475,0.020679,0.0226116
0.122886,-0.00159537,0.0662583,0.179889,0.728119,-0.684736,0.0211167,0.023077
0.123876,-0.00159537,0.0662583,0.179889,0.728119,-0.684736,0.0211167,0.023077
0.124875,-0.00159537,0.0662583,0.179889,0.728571,-0.684285,0.0206577,0.0226321
0.125899,-0.00159537,0.0662583,0.179889,0.728571,-0.684285,0.0206577,0.0226321
0.12688,-0.00159537,0.0662583,0.179889,0.728556,-0.684271,0.021095,0.0230978
0.127874,-0.00159537,0.0662583,0.179889,0.728556,-0.684271,0.021095,0.0230978
0.128866,-0.00159537,0.0662583,0.179889,0.728571,-0.684285,0.0206577,0.0226321
0.129868,-0.00159537,0.0662583,0.179889,0.728571,-0.684285,0.0206577,0.0226321
0.130868,-0.00159537,0.0662583,0.179889,0.728571,-0.684285,0.0206577,0.0226321
