t,x,y,z,qw,qx,qy,qz
-7.6501e-05,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.000938493,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00191995,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00292018,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00391771,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00492441,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00594817,-0.218001,0.0312786,-0.0191444,0.706255,-0.707465,0.0262407,0.00304917
0.00692972,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.00793607,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.00894662,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.00992042,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.01095,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0119512,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0129277,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0139504,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0149193,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0159229,-0.218001,0.0312786,-0.0191444,0.706013,-0.707693,0.0266301,0.00266656
0.0169423,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.017915,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0189151,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0199122,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0209099,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0219257,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0229233,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0239266,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0249442,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0259273,-0.218001,0.0312786,-0.0191444,0.705771,-0.707921,0.0270195,0.00228394
0.0269215,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0279226,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0289251,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0299439,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0309615,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0319247,-0.217984,0.0312891,-0.019195,0.705847,-0.707849,0.0268972,0.0024086
0.0329456,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0339203,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0349272,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0359216,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0369274,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0379741,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0389536,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0399341,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0409417,-0.217984,0.0312891,-0.019195,0.705956,-0.707712,0.0276736,0.00198018
0.0419242,-0.217984,0.0312891,-0.019195,0.705956,-0.707712,0.0276736,0.00198018
0.0429486,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.0439336,-0.217984,0.0312891,-0.019195,0.705605,-0.708077,0.0272865,0.00202599
0.044935,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0459478,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0469294,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0479338,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0489515,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0499387,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0509341,-0.217984,0.0312891,-0.019195,0.705363,-0.708304,0.0276759,0.00164337
0.0519301,-0.217984,0.0312891,-0.019195,0.705363,-0.708304,0.0276759,0.00164337
0.0529369,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0539753,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0549408,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0559852,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0569496,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0579554,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0589267,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0599381,-0.217984,0.0312891,-0.019195,0.705714,-0.707939,0.0280631,0.00159789
0.0609482,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0619378,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0629288,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0639261,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0649418,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0659219,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0669303,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.067923,-0.217984,0.0312891,-0.019195,0.705471,-0.708167,0.0284527,0.00121559
0.0689268,-0.217984,0.0312891,-0.019195,0.705822,-0.707801,0.0288402,0.00117044
0.0699431,-0.217984,0.0312891,-0.019195,0.705822,-0.707801,0.0288402,0.00117044
0.07093,-0.217984,0.0312891,-0.019195,0.705578,-0.708028,0.0292299,0.000788469
0.0719371,-0.217984,0.0312891,-0.019195,0.705578,-0.708028,0.0292299,0.000788469
0.0729444,-0.217984,0.0312891,-0.019195,0.705578,-0.708028,0.0292299,0.000788469
0.0739453,-0.217984,0.0312891,-0.019195,0.705578,-0.708028,0.0292299,0.000788469
0.0749399,-0.217927,0.0311995,-0.019195,0.705572,-0.708028,0.029375,0.00093404
0.0759282,-0.217927,0.0311995,-0.019195,0.705572,-0.708028,0.029375,0.00093404
0.076924,-0.217927,0.0311995,-0.019195,0.705572,-0.708028,0.029375,0.00093404
0.077942,-0.217927,0.0311995,-0.019195,0.705572,-0.708028,0.029375,0.00093404
0.0789268,-0.217927,0.0311995,-0.019195,0.705923,-0.707663,0.0297627,0.000889131
0.0799276,-0.217927,0.0311995,-0.019195,0.705923,-0.707663,0.0297627,0.000889131
0.0809416,-0.217927,0.0311995,-0.019195,0.705923,-0.707663,0.0297627,0.000889131
0.0819239,-0.217927,0.0311995,-0.019195,0.705923,-0.707663,0.0297627,0.000889131
