t,x,y,z,qw,qx,qy,qz
-0.000135804,0.0149156,0.065428,0.167485,0.736885,-0.665209,-0.0375921,-0.114388
0.000840298,0.0149156,0.065428,0.167485,0.736885,-0.665209,-0.0375921,-0.114388
0.0018614,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00285833,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00383798,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00483541,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00587667,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00686015,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00786706,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00887166,0.0149156,0.065428,0.167485,0.736676,-0.665268,-0.0376583,-0.115363
0.00986432,0.0149156,0.065428,0.167485,0.73654,-0.665351,-0.0372993,-0.115867
0.010862,0.0149156,0.065428,0.167485,0.73654,-0.665351,-0.0372993,-0.115867
0.0118653,0.0149156,0.065428,0.167485,0.736614,-0.665375,-0.036874,-0.115397
0.0128512,0.0149156,0.065428,0.167485,0.736614,-0.665375,-0.036874,-0.115397
0.0138435,0.0149164,0.0654225,0.167431,0.736671,-0.665204,-0.0372565,-0.115896
0.0148333,0.0149164,0.0654225,0.167431,0.736671,-0.665204,-0.0372565,-0.115896
0.0158588,0.0149164,0.0654225,0.167431,0.737079,-0.664735,-0.0371658,-0.116019
0.016814,0.0149164,0.0654225,0.167431,0.737079,-0.664735,-0.0371658,-0.116019
0.0178566,0.0149164,0.0654225,0.167431,0.737079,-0.664735,-0.0371658,-0.116019
0.018855,0.0149164,0.0654225,0.167431,0.737079,-0.664735,-0.0371658,-0.116019
0.019865,0.0149164,0.0654225,0.167431,0.736535,-0.665286,-0.0368974,-0.116401
0.0208682,0.0149164,0.0654225,0.167431,0.736535,-0.665286,-0.0368974,-0.116401
0.0218635,0.0149164,0.0654225,0.167431,0.736943,-0.664818,-0.0368071,-0.116523
