t,x,y,z,qw,qx,qy,qz
-0.000141578,0.00469175,0.0646941,0.137189,0.729137,-0.677017,0.000722161,-0.100034
0.00077036,0.00469175,0.0646941,0.137189,0.729137,-0.677017,0.000722161,-0.100034
0.001844,0.00469175,0.0646941,0.137189,0.729137,-0.677017,0.000722161,-0.100034
0.00283427,0.00469175,0.0646941,0.137189,0.729073,-0.677018,0.00028942,-0.1005
0.00384086,0.00469175,0.0646941,0.137189,0.729073,-0.677018,0.00028942,-0.1005
0.00484713,0.00469175,0.0646941,0.137189,0.729137,-0.677017,0.000722161,-0.100034
0.00586335,0.00469175,0.0646941,0.137189,0.729137,-0.677017,0.000722161,-0.100034
0.00685419,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.00785368,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.00885468,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.00985408,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0108528,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0118438,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0128612,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0138416,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0148512,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0158672,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0168464,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0178568,0.00469145,0.0647008,0.137135,0.729698,-0.676399,0.000777126,-0.100126
0.0188556,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0198458,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0208663,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0219565,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0228542,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0238541,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0248276,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0258331,0.00469145,0.0647008,0.137135,0.729614,-0.676427,0.00126045,-0.100535
0.0268338,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0278543,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0288591,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0298474,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0308534,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0318691,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
0.0328487,0.00469145,0.0647008,0.137135,0.730038,-0.675957,0.00128855,-0.10062
