t,x,y,z,qw,qx,qy,qz
-0.000137736,0.0778552,0.00314413,-0.101157,0.72901,-0.631401,-0.174036,-0.19897
0.000871398,0.0779911,0.00320822,-0.101157,0.729302,-0.630971,-0.17387,-0.19941
0.00185981,0.0779911,0.00320822,-0.101157,0.729302,-0.630971,-0.17387,-0.19941
0.00283096,0.0780806,0.00319466,-0.101137,0.729111,-0.63102,-0.174215,-0.199651
0.00382666,0.0780806,0.00319466,-0.101137,0.729111,-0.63102,-0.174215,-0.199651
0.00482974,0.078238,0.00321331,-0.101117,0.728956,-0.63111,-0.17441,-0.199761
0.00586652,0.078238,0.00321331,-0.101117,0.728956,-0.63111,-0.17441,-0.199761
0.00686346,0.0783059,0.00324549,-0.101117,0.728517,-0.631439,-0.174935,-0.199863
0.00786393,0.0783059,0.00324549,-0.101117,0.728517,-0.631439,-0.174935,-0.199863
0.00884337,0.0784633,0.00326436,-0.101097,0.728363,-0.631528,-0.175131,-0.199973
0.0098668,0.0784633,0.00326436,-0.101097,0.728363,-0.631528,-0.175131,-0.199973
0.0108673,0.078599,0.00332895,-0.101097,0.728307,-0.631498,-0.175235,-0.200179
0.011883,0.078599,0.00332895,-0.101097,0.728307,-0.631498,-0.175235,-0.200179
0.012868,0.0787564,0.0033481,-0.101077,0.728495,-0.631419,-0.174612,-0.200288
0.013859,0.0787564,0.0033481,-0.101077,0.728495,-0.631419,-0.174612,-0.200288
0.0148687,0.0788921,0.00341293,-0.101077,0.728097,-0.631557,-0.175536,-0.200495
0.0158698,0.0788921,0.00341293,-0.101077,0.728097,-0.631557,-0.175536,-0.200495
0.0168669,0.0790495,0.00343237,-0.101057,0.728284,-0.631479,-0.174913,-0.200603
0.0178656,0.0790495,0.00343237,-0.101057,0.728284,-0.631479,-0.174913,-0.200603
0.0188682,0.0791851,0.00349743,-0.101057,0.728232,-0.631218,-0.175563,-0.201046
0.0198654,0.0791851,0.00349743,-0.101057,0.728232,-0.631218,-0.175563,-0.201046
0.0208636,0.0793426,0.00351715,-0.101036,0.728202,-0.631651,-0.17481,-0.200453
